Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
168080,1.954108,-0.947349,-1.026479,-1.033824,-0.229279,0.513692,-0.780874,0.159382,1.519951,-0.311603,-0.085577,1.001126,0.63788,-0.200632,0.045959,0.543652,-1.023802,0.89259,0.8723,0.05905,0.229342,0.741123,-0.04775,-0.244723,-0.122332,0.800258,-0.049583,-0.055524,72,0
2502,-1.109662,2.058675,-0.127776,1.227213,1.813786,-1.616901,1.825284,-1.104589,-0.258886,-0.275032,1.291054,-0.549073,0.80333,-4.547652,1.370559,0.340121,2.58036,1.297453,-0.022497,0.471989,-0.378004,-0.311311,-0.538802,0.086036,0.795532,-0.268564,-0.627682,-0.402899,2.49,0
65707,-1.287978,1.082991,1.299363,-1.392322,-0.448208,-0.473061,0.06817,0.676252,-0.224492,-0.513432,1.440283,0.80319,-0.389211,0.493844,0.055369,0.561688,-0.395578,-0.307588,-0.865614,0.006511,0.019281,0.016944,0.03575,0.245385,-0.408575,0.726451,0.25118,0.15857,7.68,0
116702,2.158559,-0.695979,-1.320582,-0.848687,-0.5534,-1.40565,-0.169619,-0.517607,-0.729686,0.826913,-0.39816,0.061611,1.477608,-0.215568,0.189409,0.822422,0.080606,-1.456178,0.39987,0.117778,0.469205,1.361687,-0.058188,0.144605,0.233148,0.058051,-0.037249,-0.056675,48.81,0
164766,-0.376117,-0.204106,-1.764242,0.846805,0.556047,0.82567,2.740074,-0.212052,-0.936067,-0.170695,-0.637341,-0.732833,-1.524788,1.143,-0.742455,-0.492171,-0.54962,1.012839,1.297066,0.789661,0.536812,0.874724,0.731991,-0.356811,-0.33719,-0.41576,0.104546,0.272446,436,0
28671,1.246495,0.229147,0.269267,0.712061,-0.51304,-1.108222,-0.011233,-0.117969,0.263965,-0.239754,-0.327188,-0.579705,-1.305605,0.018466,1.262616,0.550941,0.082491,-0.11034,-0.189564,-0.169805,-0.302494,-0.957743,0.143815,0.303647,0.162579,0.099059,-0.033937,0.028315,6.27,0
161771,2.193083,-0.700945,-1.647414,-0.784727,-0.053093,-0.33842,-0.352535,-0.208497,-0.83215,1.132017,-0.133891,0.348002,0.777232,0.317236,-0.143728,-0.932699,-0.892224,1.910281,-0.325935,-0.510619,-0.143548,0.129587,-0.03434,-1.055454,0.049839,0.840127,-0.067053,-0.081934,21.9,0
64734,1.301308,-0.021035,0.174643,0.001082,-0.425024,-0.818032,-0.058998,-0.170396,0.306074,-0.12699,-0.771536,-0.182252,-0.208934,0.261266,1.136293,0.448547,-0.471037,-0.263519,0.18803,-0.058161,-0.123167,-0.375392,-0.032695,-0.065258,0.305148,0.979024,-0.085547,0.000686,15,0
153498,0.546966,0.913063,-0.459902,1.160963,0.646706,-0.455869,0.528122,-0.119225,-0.339443,-0.159514,-0.723257,-0.831775,-0.799455,-0.512945,1.386801,-0.762666,1.451793,0.319968,2.684133,0.174593,-0.182458,-0.376045,0.281319,0.575739,-1.725004,0.410521,0.28601,0.310566,1.78,0
89884,-0.720888,0.600954,-0.058318,-0.43904,1.575397,-1.096076,2.608293,-2.093768,1.804103,1.864669,0.176983,-0.847149,0.064395,-2.829406,1.045305,-0.499613,-0.370395,0.466089,-0.104906,0.238638,-0.271527,1.173474,-0.275073,-0.164835,-0.352598,-0.359291,-1.071801,-1.160356,74.95,0
30047,-0.816244,0.394396,-0.446421,-0.186371,2.801972,3.380944,0.21668,0.720856,-0.614312,0.083185,-0.269827,-0.312273,0.001413,0.393469,1.261162,0.020214,-0.72254,0.542581,0.860585,-0.11252,0.059407,0.244476,0.121073,1.011013,-0.032341,-0.323738,0.022446,0.102168,35.15,0
40563,-0.759059,0.819157,1.985372,1.704033,-0.557422,0.781815,-0.359684,0.765828,0.306335,-0.824646,-1.27433,1.022262,0.257084,-0.534184,-1.490268,-1.538049,1.286025,-1.069512,1.291405,-0.100872,-0.250674,-0.348438,0.023132,0.102266,-0.353884,-0.437862,0.11977,0.080446,4.29,0
113630,2.025651,-0.071877,-0.900026,0.508852,-0.345394,-1.374339,0.153108,-0.314664,0.567046,0.075294,-0.383651,0.400747,-0.377173,0.378279,0.097134,-0.267169,-0.060789,-1.048651,-0.078636,-0.269073,-0.260926,-0.628896,0.403059,0.3902,-0.38059,0.17677,-0.069251,-0.057234,0.99,0
78465,1.421122,-1.189859,0.170288,-1.783222,-0.582062,1.401303,-1.475189,0.345537,-1.816376,1.307725,0.028835,-0.429246,1.532379,-0.693651,1.171772,-0.438638,0.59243,-0.176503,-0.866612,-0.10113,-0.010961,0.211746,0.182678,3.664552,0.333693,-0.248529,0.046683,0.065339,44,0
160397,2.035362,-0.154988,-2.958748,-0.576317,2.606883,3.143545,-0.413552,0.783741,0.359607,-0.352244,0.329687,0.183612,-0.272471,-0.596868,0.584213,0.179007,0.473973,-0.498336,-0.1409,-0.115603,-0.350813,-0.998262,0.361273,0.604955,-0.265481,0.219403,-0.039684,-0.04235,4.49,0
38525,-0.364608,0.981366,1.149996,-0.117989,0.132426,-0.495558,0.529642,0.161693,-0.452863,-0.309258,0.99075,-0.13304,-1.100523,-0.015095,0.348169,0.730911,-0.293589,0.610682,0.329532,0.063531,-0.246158,-0.734778,-0.048713,-0.080913,-0.186432,0.078686,0.232905,0.082362,5.37,0
172704,0.470194,-1.619056,-2.258427,4.440719,0.202024,-0.458243,1.970565,-0.665303,-1.630737,1.13331,-1.029078,0.361727,1.109385,0.524056,-1.301802,0.272106,-0.560614,-0.723808,-1.611999,1.347241,0.603016,0.104952,-0.716836,0.121688,0.170587,0.082567,-0.218942,0.070955,787.95,0
44800,-1.65896,-0.918948,1.795284,1.042865,-0.529629,-0.087135,-0.985762,0.86865,1.308497,-0.860372,-1.36353,0.127745,-1.747075,-0.462415,-1.580987,-0.898982,1.097397,-0.926381,0.319813,-0.575136,-0.215421,-0.031362,1.21205,0.380349,-0.315242,0.24387,-0.000186,-0.150264,9,0
59665,1.245874,0.650511,-0.489753,1.027593,0.483553,-0.462608,0.227041,-0.093136,-0.400392,-0.416512,1.244611,0.780382,0.707126,-1.036966,0.331715,0.868179,0.132245,1.099597,-0.038918,-0.027228,-0.037429,-0.035383,-0.225122,-0.446427,0.776854,-0.304719,0.031765,0.035608,1,0
82841,-1.593213,1.457407,1.38446,-1.355564,-0.58726,-0.99017,0.349398,0.306059,0.516464,0.144455,0.196457,0.234325,-0.236695,-0.063225,0.771711,0.133329,-0.154378,-0.990271,-1.336069,0.31768,-0.120688,-0.038225,0.062866,0.623718,-0.3429,0.703666,0.302016,0.070739,0.77,0
162666,0.107833,0.70993,-1.688894,-1.546959,3.108902,3.222113,0.380846,0.918076,-0.163419,-0.808088,0.137329,-0.158505,-0.427988,-0.7517,0.155735,0.216562,0.351649,-0.373352,-0.400677,0.059259,-0.331643,-0.906654,0.125047,0.59221,-0.421381,0.163974,0.243409,0.071546,7.99,0
30595,-1.259246,1.410992,0.467721,-0.035016,-0.465763,-0.71441,0.02291,0.682673,-0.620713,-0.705481,-1.219172,-0.019772,0.026349,0.780638,0.785037,0.572306,-0.257925,-0.074324,0.230075,-0.30443,-0.053884,-0.569017,0.098633,-0.134658,-0.571476,-0.002004,-0.402774,0.012673,21.23,0
124067,1.579866,-1.296601,-0.813031,-0.746312,-0.794352,-0.214712,-0.405988,-0.035753,1.109045,-0.344424,1.210449,1.621901,1.160546,-0.0336,0.432,0.429811,-0.825122,0.515489,0.279174,0.398461,0.373816,0.723673,-0.001894,0.874795,-0.403148,0.621856,-0.082248,-0.013374,232,0
168599,2.296915,-0.704664,-1.566622,-1.132184,-0.168256,-0.680379,-0.450071,-0.302365,-0.407041,0.85404,-1.465824,-0.832619,0.564816,-0.1209,0.515765,1.233895,-0.227362,-1.087745,0.750897,-0.011688,0.28641,0.875263,-0.053418,-1.015557,0.197915,0.031099,-0.025912,-0.072901,4.71,0
126963,2.073899,-0.086569,-1.135587,0.385856,-0.114457,-1.141359,0.147654,-0.297866,0.625025,0.088107,-0.955623,0.132477,-0.394275,0.362712,0.1038,-0.039577,-0.314065,-0.762287,0.205253,-0.25228,-0.30502,-0.765474,0.328498,-0.123665,-0.294777,0.206792,-0.073938,-0.062613,0.99,0
52360,0.914079,-0.190306,0.14369,1.652441,-0.26021,-0.238915,0.204256,-0.031428,-0.822664,0.695921,0.830781,0.094443,-0.623817,0.619784,-0.067492,0.993308,-0.806385,0.209666,-0.340926,0.196305,0.090925,-0.200281,-0.20065,0.031272,0.298662,0.957122,-0.127129,0.017509,163.39,0
30761,-0.231516,-0.001006,1.185528,-0.775204,-0.035826,-0.387109,0.240529,-0.286018,-1.403705,0.928851,0.84146,-0.597998,-0.484878,-0.195979,-0.506741,0.257683,0.53376,-0.741326,2.369976,0.252099,0.24622,0.871113,-0.357263,0.068211,-0.067808,-0.029049,-0.147286,-0.105545,20,0
117814,2.012139,0.160097,-1.592828,0.328346,0.486059,-0.555712,0.122638,-0.117989,0.105789,-0.240117,1.470218,1.317401,0.702685,-0.782463,-0.544163,0.366584,0.300632,-0.052584,0.198295,-0.109306,-0.286877,-0.713353,0.347458,0.631004,-0.301263,0.145764,-0.058061,-0.037833,1.29,0
14461,1.184329,-0.224641,0.692634,0.097615,-0.573848,0.109335,-0.739331,0.199908,1.748807,-0.345394,1.982635,-2.591048,0.071193,2.012647,0.339034,0.565393,0.297931,0.514101,-0.336721,-0.199892,-0.028644,0.098604,-0.017571,-0.324405,0.091792,1.068998,-0.087984,-0.014756,14.95,0
126814,1.022662,1.460897,-0.717615,4.549145,0.417472,1.118951,-0.762859,-2.352829,-1.746507,2.35151,0.829498,0.478466,0.426841,0.796496,0.173705,0.232207,-0.18107,0.588032,0.731613,-0.39307,2.605813,0.176404,0.339561,0.753808,-0.024377,0.453873,0.22341,0.148728,3.78,0
165011,-1.08533,1.123472,0.317517,-0.555729,-0.887892,-0.25117,-0.232168,0.823869,0.075523,-0.845307,0.65607,1.581206,0.689248,0.434368,-0.56727,0.531284,-0.554536,0.289796,-0.083369,-0.490961,0.070257,-0.02454,0.280086,-0.01318,-0.686129,-0.747004,-0.49007,-0.107868,49.98,0
51430,1.106457,0.182912,0.356871,1.178793,-0.309888,-0.67893,0.173416,-0.105701,0.004203,-0.036743,0.061536,0.200084,-0.416228,0.513812,1.190004,-0.317723,-0.008391,-0.657431,-0.861493,-0.13291,0.095031,0.253474,-0.057653,0.405131,0.546082,-0.321714,0.021412,0.025967,41.38,0
65506,0.675681,-0.882077,-0.468941,0.285102,-0.636688,-1.131631,0.668949,-0.282419,-0.29357,-0.022952,1.463396,0.35542,-1.127427,0.971035,0.199446,0.134497,-0.263979,-0.069179,0.241437,0.478497,0.189316,-0.211777,-0.32864,0.604033,0.34464,1.011695,-0.181732,0.03353,311.95,0
155122,-2.031433,1.552117,0.769844,-1.079905,-0.441516,-0.08956,-0.119472,0.548659,0.179137,-0.008842,0.404298,1.15874,0.790885,-0.034814,-0.594518,0.744321,-0.807495,0.229418,0.240116,-0.213848,-0.039879,-0.334253,0.074098,-0.328084,-0.404512,0.188296,-1.037607,-0.156274,9.99,0
78835,-0.938417,0.878326,1.813084,-0.374043,0.536549,-1.151328,0.825656,-0.128534,-0.737449,-1.073355,-0.169269,0.286011,0.785675,-0.559866,0.447001,0.589628,-0.255007,-0.279038,-0.695743,0.070472,-0.200055,-0.751069,-0.128018,0.352086,0.262343,0.007034,-0.015263,0.080121,11.99,0
30761,-0.279725,0.767477,1.246285,0.082224,0.875796,0.72835,0.547372,-0.019078,-0.610081,0.216962,0.64153,0.237353,0.272292,0.157171,1.024472,-0.033309,-0.554282,0.166252,1.384937,0.154739,-0.175063,-0.374163,-0.145236,-1.147808,-0.594174,0.209303,-0.169166,-0.098124,4.49,0
136093,2.168233,-0.60998,-1.530118,-1.111917,-0.118406,-0.812645,-0.186372,-0.285935,-1.110204,0.990105,1.35399,0.612131,0.99323,0.164608,-0.523583,1.022372,-0.109798,-1.366282,0.944116,0.087971,0.118144,0.227027,0.218521,0.787535,-0.056515,-0.375147,-0.053633,-0.060263,28.4,0
67477,1.296078,-1.17445,1.510009,-0.357927,-1.858589,0.605063,-1.75156,0.459243,0.658202,0.467708,0.036663,-0.161313,-1.228188,-0.975417,-1.915574,0.9078,0.591483,-0.613037,1.411477,-0.032706,0.15353,0.718281,-0.126474,0.052728,0.453814,-0.038664,0.074572,0.010665,1,0
117838,0.004817,1.488516,-2.521041,0.041655,1.158651,1.413949,-2.081763,-4.869657,-0.412315,-2.468493,1.462075,-0.004937,-2.140312,-1.11479,1.126464,0.649248,2.48577,0.9437,-1.549849,1.022226,-2.331763,1.461354,0.128235,-1.919111,0.320883,0.041933,0.097972,0.249948,1,0
75317,-0.261889,0.493308,0.850331,-0.768812,-0.304574,-1.190226,0.423032,-0.27117,-1.60288,0.106836,0.0286,-1.058768,0.011742,-0.988758,0.869223,1.007866,1.269323,-1.234656,1.456215,0.210797,-0.195772,-0.75439,0.192247,0.261946,-0.745796,-0.659712,0.032791,0.196691,36.89,0
37933,1.366568,-0.855097,-1.440543,-1.781187,1.541888,3.106849,-0.863506,0.692015,-1.044141,0.688205,-0.016864,-0.765284,0.179101,0.074431,0.844622,1.321697,-0.209454,-0.938148,0.872074,0.317215,0.19567,0.218417,-0.20264,1.043114,0.770743,-0.107817,-0.014514,0.014257,70.85,0
159074,-0.081305,1.614355,0.261269,2.872138,1.158831,-0.356195,1.650837,-0.316782,-1.8933,0.855289,-1.370828,-0.178076,0.417988,0.10841,-1.889638,0.296288,-0.668605,-0.761524,-1.482279,-0.249837,0.078077,0.243968,-0.158871,0.040448,-0.018683,-0.071973,-0.105444,0.026121,36.67,0
163514,2.268553,-1.651368,-2.235712,-2.591529,1.081112,3.501918,-1.714368,0.834747,-1.329541,1.578966,-0.223633,-0.703632,0.33714,-0.263724,0.226757,-0.63847,0.411403,-0.265952,-0.269272,-0.351327,-0.192562,-0.151822,0.296867,0.680463,-0.201146,-0.181499,0.034511,-0.053727,19.95,0
141491,2.061107,-0.072039,-1.067287,0.421597,-0.175044,-1.226108,0.164959,-0.318738,0.585953,0.08194,-0.783887,0.283317,-0.235032,0.335212,0.072027,-0.093817,-0.26782,-0.836002,0.144716,-0.243386,-0.29199,-0.721915,0.344726,0.038173,-0.309709,0.19636,-0.072702,-0.060453,1.98,0
139318,-0.032977,0.501136,0.79109,-0.592089,0.53134,-0.27572,0.426138,-0.041358,0.410195,-0.889555,0.861602,0.252,-0.403058,-1.28871,0.017485,0.546249,0.117283,1.022969,0.543501,0.031273,-0.133076,-0.150895,0.079062,-0.529276,-1.270306,-0.364486,0.088829,0.030159,7.63,0
34310,-0.787797,0.921899,1.21535,0.865354,0.13571,-0.754654,0.95226,-0.529239,-0.053449,0.481549,-0.563837,-0.770652,-1.015962,0.188282,1.218646,-0.374638,-0.270491,0.160327,0.47306,-0.236271,0.101063,0.439212,-0.294741,0.391928,-0.382802,-0.405783,-0.455823,-0.062287,53.5,0
71086,1.265887,-0.789935,0.482561,-0.774914,-0.958618,-0.280356,-0.676826,-0.144538,-0.672767,0.512144,-0.772332,-0.10538,1.810321,-0.665986,0.905109,1.605968,-0.260814,-1.074193,0.686825,0.382459,0.138549,0.183806,-0.156932,-0.409935,0.392428,-0.260007,0.021163,0.037376,101.54,0
124414,-1.791312,2.612182,-0.961236,2.482235,1.54996,2.172666,-0.321193,-2.52742,-1.469637,1.159576,-1.020658,0.182762,-0.114818,0.579867,-1.048638,-0.443725,0.587877,-2.021499,-2.662181,-1.191799,3.282636,-0.589402,0.508761,-0.430834,-0.132818,-0.009107,-0.495632,-0.048673,11.34,0
38420,1.458248,-1.498322,-0.814557,-2.279077,0.705819,3.639004,-1.677654,0.88504,-1.500116,1.307004,-0.561472,-0.74474,0.357783,-0.575044,-0.302872,-0.397466,0.363561,-0.000139,0.541745,-0.142729,-0.548749,-1.296595,0.108497,0.958631,0.349647,-0.415487,0.04901,0.027512,52.5,0
146262,-5.346986,-6.605128,1.341534,1.413748,5.826573,-3.177828,-3.998803,0.715614,0.741147,0.353267,0.175904,0.461979,-0.444239,0.184038,0.307327,0.162701,-0.462427,1.038324,1.054627,0.975904,0.540388,0.515701,0.73784,0.349629,0.161766,0.73137,-0.62687,1.424152,9.93,0
133135,-0.10613,-0.656756,0.487181,-0.903122,0.946285,1.357163,0.408216,0.07462,0.812747,0.011013,0.836179,0.216882,-0.886441,-0.233552,0.309373,-0.080015,-0.508569,-0.988085,-0.894137,-0.245187,-0.211451,-0.164242,0.260539,-1.661571,-1.417548,0.142945,-0.296244,-0.518184,125.42,0
145487,-1.859609,0.600723,0.098425,0.338037,0.435022,1.709207,-0.356432,0.160287,-1.892454,-0.556509,1.439071,0.416629,0.632335,-1.79577,0.849671,-1.60106,2.47425,1.711436,-1.228902,-0.503272,0.424558,-0.547513,-0.315598,-1.632038,0.368088,-0.240233,0.530406,-0.09248,137,0
72093,1.152895,0.422838,1.058124,2.513418,-0.511189,-0.298946,-0.226398,-0.003004,-0.440348,0.672841,-0.62109,-0.176754,0.047156,0.085214,0.773457,0.93946,-0.757278,0.111725,-1.219259,-0.13139,0.143071,0.38596,-0.062339,0.390324,0.431893,0.096807,0.011245,0.030678,10.65,0
146254,-1.320121,-0.83141,1.167272,-0.090013,-0.400095,-0.572893,-0.581855,0.714443,0.898108,-1.176587,-1.744877,-0.297184,-1.515281,-0.007483,-0.82812,0.178434,0.116071,-0.285037,-0.048733,0.111756,-0.063625,-0.663881,0.24826,-0.041302,-0.304007,0.354976,-0.158655,-0.235067,89.92,0
155145,-0.700278,0.782274,1.183487,-0.296137,0.652001,0.040173,1.099106,-0.168926,0.001219,-0.192429,0.188384,0.034447,-0.979888,0.056057,-1.024777,0.420249,-1.228048,0.565837,-0.743089,-0.302422,0.105094,0.460039,-0.246168,-0.446242,-0.046544,-0.813021,-0.239572,-0.111555,36.9,0
59601,-0.740739,0.818043,2.212481,-0.121273,0.27628,-0.073385,0.941151,-0.034754,-0.532449,-0.388475,0.74831,-0.060783,-0.902686,0.19736,-0.055593,0.77665,-1.207463,0.680042,-0.56657,-0.019068,-0.041826,-0.15908,-0.297908,-0.055388,0.39719,-0.590573,-0.133488,-0.163653,36,0
135422,-3.409692,-1.369827,0.310822,-2.033251,-0.336617,-1.252208,0.838791,-0.259987,1.9412,-1.204873,-0.985002,0.103208,-0.517225,-0.148726,0.774457,0.355954,-1.048442,0.501779,-0.953724,-1.128068,-0.028469,0.829602,-0.713257,0.113109,0.367495,-1.18861,-0.3068,0.188356,210.66,0
22136,-0.235,0.707324,0.970172,-1.403243,1.063641,0.162753,0.770141,-0.308396,1.339395,-0.943042,-0.363398,-2.704916,2.383441,1.088006,-0.02579,0.46627,-0.274163,-0.261965,-0.710688,-0.076515,-0.267579,-0.39075,-0.249692,-1.318525,-0.203918,0.783186,-0.36224,-0.222381,7.99,0
107390,-0.492657,0.890772,2.392193,-0.142606,0.263093,-0.211529,0.577943,-0.296699,1.382646,-1.170947,0.400349,-2.128456,2.57168,1.071728,0.553479,-0.356072,0.276991,0.343621,0.490089,0.113851,-0.298054,-0.349662,-0.317884,-0.162516,0.289472,-0.723429,-0.070703,-0.145097,2.12,0
83288,-1.94222,1.313195,0.675962,0.895938,-0.346204,0.775695,0.112242,0.236597,0.137015,0.573162,-1.236843,-0.43,0.023321,0.117257,1.938486,0.087631,-0.219885,0.129233,0.673504,-0.470766,0.072989,-0.019035,0.055919,-0.919362,-0.550036,-0.484021,-1.178023,0.363609,70,0
139585,2.106285,-0.102411,-1.815538,0.256847,0.340938,-1.00249,0.373141,-0.314247,0.541619,0.116893,-1.109268,-0.254243,-1.109612,0.589798,-0.278132,-0.472992,-0.040687,-0.697763,0.271836,-0.264977,-0.060222,-0.047904,0.124192,0.771908,0.144864,0.645126,-0.117185,-0.074093,5.41,0
19819,1.294424,-0.512157,-0.546178,-1.6964,1.395499,3.485397,-1.230323,0.877123,2.955589,-1.396175,0.756214,-1.87566,1.672738,1.404519,0.709885,-0.15032,0.081078,0.892521,0.722556,-0.025903,-0.211257,-0.269834,-0.066246,0.957402,0.638362,-0.71053,0.068991,0.023276,6.7,0
156172,1.976573,0.176315,-1.827005,1.268287,0.808157,-0.616594,0.705354,-0.384827,0.03372,0.202347,-0.924737,0.802795,0.842662,0.30965,-0.576002,-0.718812,-0.257058,-0.704112,-0.182198,-0.123153,0.070445,0.360263,-0.027525,0.637978,0.51607,-0.523218,-0.019975,-0.047503,46,0
72496,-1.403509,0.573134,0.049264,-2.101197,1.415598,3.840151,-0.772392,1.44259,0.820312,-0.686634,-0.906236,0.26517,-0.193351,-0.442707,-0.801856,0.531119,-0.521466,-0.134739,0.098808,-0.082435,-0.183925,-0.688955,-0.121057,1.059398,0.104223,0.768055,-0.448014,-0.011399,30,0
118898,2.026462,-0.569983,-0.968666,0.621171,-0.528107,-0.517803,-0.382948,-0.127074,-0.743622,1.232017,0.516223,0.546841,-0.133426,0.376855,-0.780979,-1.610957,-0.338309,1.779395,-1.093721,-0.659562,0.024678,0.696593,-0.000308,-0.000374,0.226073,-0.333774,0.03514,-0.05427,25,0
130002,-1.079271,1.706891,-1.768406,-0.79236,1.455087,-1.134111,2.021596,-1.119676,0.879465,1.206639,-0.548577,-0.544209,-0.312417,-1.617346,-0.518163,-0.469791,0.308362,-0.204791,-0.274474,0.074008,0.01358,0.573659,-0.104427,0.629244,-0.348006,0.387745,-0.864614,-0.08388,39.28,0
10946,-0.664031,0.804576,1.963981,0.664411,-0.585405,-0.238915,0.291927,-0.11851,1.355596,-0.542882,0.251701,-2.602505,1.405566,1.189265,-0.194558,-1.136864,1.586756,-0.048544,2.084761,0.281126,-0.243835,-0.111631,-0.275578,0.431864,0.167435,1.365357,0.127632,0.105786,49.5,0
62811,-0.601573,0.237697,2.349415,1.60784,-0.110715,1.029314,-0.275236,0.554455,0.372606,-0.392253,0.404043,1.051554,-0.840611,-0.455399,-2.039491,-1.422084,0.922987,-0.48483,1.594186,0.022249,-0.233183,-0.312713,0.037535,0.017984,-0.424429,-0.453784,0.221253,0.148988,12.65,0
30409,-1.035093,0.568995,0.220586,0.963914,0.45677,-0.627779,0.161704,0.252313,-0.375242,-0.082495,-1.435226,-0.427288,-0.145454,0.558209,1.159601,0.135674,-0.360617,0.437737,0.742936,-0.413409,0.050961,0.29862,0.401522,-0.462162,0.090471,-0.269487,-0.196498,-0.081154,3.99,0
100892,2.06636,-0.01955,-0.82992,0.280736,-0.003777,-0.685588,-0.190845,-0.22325,1.878489,-0.282294,0.2483,-2.448969,1.409971,1.824484,0.206684,0.48012,0.115135,-0.415048,-0.124809,-0.229211,-0.626272,-1.632095,0.589296,0.538325,-0.724293,-0.045695,-0.10239,-0.049107,6.04,0
